"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"FXYD1",-1.85148286938378,4.99207445346923,-8.84221780893042,6.87121200016559e-14,1.16494528250807e-09,20.5415035383673,"Downregulated"
"RNF186",-1.41031290470475,3.97625889211384,-8.44592351334588,4.60749484669896e-13,3.90577338154671e-09,18.8013571866824,"Downregulated"
"MED12L",-3.40186720966265,3.728377862081,-7.17097224701941,1.93743949749645e-10,1.09491164135183e-06,13.2541582334422,"Downregulated"
"WDR86",-1.7911647606982,4.64055100402134,-7.07682520862505,3.00291283914065e-10,1.27278460686977e-06,12.8508176086842,"Downregulated"
"TNXA",-2.75451234068759,6.36506804218318,-6.9711316226759,4.90268440408527e-10,1.66240222773723e-06,12.3995303903563,"Downregulated"
"ALDH1A2",-1.38569150435346,3.97978606264615,-6.88212585675431,7.39689841318517e-10,1.83316969562444e-06,12.0208302520872,"Downregulated"
"NRIP2",-1.34243091307962,4.63861357586248,-6.87714404342757,7.56882615864758e-10,1.83316969562444e-06,11.9996714037895,"Downregulated"
"IGSF10",-3.19292125213593,4.89625370138427,-6.7924610813515,1.1177448817382e-09,2.2201468249064e-06,11.6406396204284,"Downregulated"
"LRRC70",-2.28688777578797,3.97695709506934,-6.78092975567425,1.17856089560916e-09,2.2201468249064e-06,11.5918449036383,"Downregulated"
"SAMD5",-2.95529355067893,4.01641669592728,-6.68115409059979,1.86192756350805e-09,3.15671199117154e-06,11.1706338598598,"Downregulated"
"RHOJ",-1.55767047798149,4.77488222837803,-6.5724172473956,3.05770325176689e-09,4.71275463004144e-06,10.7137036480244,"Downregulated"
"ROBO3",-1.91775243180279,4.90270609661517,-6.42638175894209,5.92865839041711e-09,8.37620619592764e-06,10.1037512386662,"Downregulated"
"ADCYAP1R1",-1.75802128864463,4.30567421977585,-6.26584613615995,1.22058987292137e-08,1.59183697734684e-05,9.43854205054946,"Downregulated"
"ADAMTS9-AS2",-2.7850606151977,4.79471059674685,-6.13407971314431,2.19729560078455e-08,2.5657019630311e-05,8.89703137883373,"Downregulated"
"C1QTNF4",-1.37339823265745,3.65351316082269,-6.12675404098446,2.26999701813533e-08,2.5657019630311e-05,8.86705052868821,"Downregulated"
"TNXB",-1.10692767889946,5.25485500742777,-6.08796012731689,2.6963981447595e-08,2.85717088414079e-05,8.70850949251198,"Downregulated"
"SCARA5",-1.63576786507509,4.2357969871162,-5.98801049058711,4.19342708901749e-08,4.18208016865897e-05,8.30183339094297,"Downregulated"
"INMT",-2.11980061036201,4.70701760573324,-5.87919113633143,6.76042057915607e-08,6.36756502772289e-05,7.86212413367937,"Downregulated"
"NR4A1",-1.32927118965416,5.92678059713089,-5.80356079799011,9.40216506325796e-08,8.38970034118292e-05,7.55848391491532,"Downregulated"
"SVEP1",-0.993263045230225,4.81178917436086,-5.7587979435263,1.14198070970906e-07,9.65259404161753e-05,7.37955471269074,"No"
"OXTR",-3.89363586308189,5.12130848038572,-5.74820947218483,1.19561445602199e-07,9.65259404161753e-05,7.33731672436418,"Downregulated"
"OSR1",-3.25087213852312,4.57669473138896,-5.66789279061846,1.69154931552416e-07,0.000130356941342712,7.01803459435047,"Downregulated"
"SCN4B",-3.26611164928864,4.53156510862619,-5.60609754863828,2.20604646121809e-07,0.000162614398710832,6.77374001248983,"Downregulated"
"PDGFA",-2.56254983920586,6.72434084374212,-5.59132037797656,2.35024481048151e-07,0.000166025210487098,6.71550068418692,"Downregulated"
"RGCC",-1.80543997571538,6.08115534107119,-5.56685317687223,2.60960179113502e-07,0.00017300135850686,6.61922549737039,"Downregulated"
"PAMR1",-2.67565714065948,5.45439947909299,-5.56298653963168,2.65308205802664e-07,0.00017300135850686,6.60402849275252,"Downregulated"
"VEGFD",-2.58292745420235,3.82626508892959,-5.51064516383118,3.31650261152988e-07,0.000208251797318065,6.39879239373229,"Downregulated"
"CXCL3",-2.60295389926304,3.97048248816101,-5.49000846909327,3.62064200456936e-07,0.000219229873376675,6.31812240994861,"Downregulated"
"TMEM132C",-1.56634901989881,4.02988891693501,-5.46645708602898,4.00124269929541e-07,0.000233920926633981,6.22623288956609,"Downregulated"
"CSRNP1",-1.73699859085865,6.21717624269429,-5.44991571099037,4.29174153114971e-07,0.000242540619730374,6.16180594235042,"Downregulated"
"ABCA6",-2.82792386391902,4.28303381664214,-5.43666474899462,4.53928463376171e-07,0.000248254940905794,6.110261906102,"Downregulated"
"FOSB",-4.26951162509094,5.83671089167664,-5.41454449695521,4.98404970741332e-07,0.000264061183560892,6.02435171490408,"Downregulated"
"PEAR1",-2.08808795867162,5.21038948101342,-5.35641664218486,6.366462574772e-07,0.00032708183785662,5.79940432590503,"Downregulated"
"TMEM178A",-3.4049246515249,5.03259379394428,-5.30384204161228,7.93598278443598e-07,0.000395725447433317,5.59697393158917,"Downregulated"
"BCO2",-1.19325942564893,4.14247879458246,-5.28767923247422,8.49050944684893e-07,0.000402241805573491,5.53494078151635,"Downregulated"
"MYH11",-1.98252980107569,5.24372463850002,-5.28625443564284,8.54117317485295e-07,0.000402241805573491,5.52947692128323,"Downregulated"
"KANK3",-1.37455449066301,4.94130058115499,-5.2407173899107,1.03257871343098e-06,0.000473144311013751,5.35524010766289,"Downregulated"
"TSHZ2",-2.36344132347486,5.19935786782469,-5.23428241734479,1.06057392492046e-06,0.0004731834295553,5.33067964387375,"Downregulated"
"MGARP",-1.5061253589311,4.12275591038738,-5.21757865155462,1.13675386481627e-06,0.000494167308310128,5.26699775173241,"Downregulated"
"PER1",-1.29689056080468,5.15160144244205,-5.1987116534193,1.22924392147143e-06,0.000521015036115664,5.19519375554612,"Downregulated"
"CXCL2",-4.95214643851484,6.30607833634156,-5.16408336351371,1.41851983437512e-06,0.000586575250536484,5.06375374512386,"Downregulated"
"ZNF331",-1.55063924659496,6.35270579794323,-5.14644333057958,1.52560548649627e-06,0.000609296964529011,4.99697166635041,"Downregulated"
"YPEL4",-1.42274266828906,3.8035872764069,-5.14332434059522,1.54534443050298e-06,0.000609296964529011,4.98517608436892,"Downregulated"
"HLF",-2.76275234025357,3.98565002387562,-5.09848300510331,1.85827341113195e-06,0.000716026532098433,4.81600664852078,"Downregulated"
"LRRN4CL",-2.61039078309932,4.69016031074358,-5.07315646675634,2.06152912318863e-06,0.00077669255010089,4.72080456067791,"Downregulated"
"SPRY2",-2.69823289354138,6.16644570529123,-5.0599811334086,2.17569018011639e-06,0.000801883724210722,4.67137827989973,"Downregulated"
"ADAM33",-1.38284226055364,5.62622587585325,-5.02355749725262,2.52435704497691e-06,0.000910594666819968,4.53509571203399,"Downregulated"
"TMEM88",-0.996485418052672,5.27089186539341,-4.91804604477735,3.87099957287609e-06,0.00136726930746961,4.14333818447231,"No"
"NRXN2",-1.2651169507272,4.23155007759264,-4.80959003325896,5.97814826721801e-06,0.00203315971261692,3.74547488580209,"Downregulated"
"IGFBP6",-2.35395929503173,7.06588467763913,-4.80883711486118,5.99610626582789e-06,0.00203315971261692,3.74273039413004,"Downregulated"
"MOCS1",-1.31673262571296,4.47275250664538,-4.79486178236684,6.33911937492554e-06,0.00210709562619161,3.69183289887281,"Downregulated"
"PPP1R15A",-1.35075690334144,5.65086105265583,-4.79000555784732,6.46272104293759e-06,0.00210709562619161,3.67416658661667,"Downregulated"
"CLDN5",-1.47201903275465,6.09023693747406,-4.78213388121682,6.66806703191318e-06,0.00213302657469917,3.64555223935478,"Downregulated"
"CACHD1",-1.49223298395234,4.94282513308453,-4.7678240730631,7.05772907383639e-06,0.00215928184422983,3.5936038634541,"Downregulated"
"TP63",-2.53877893726986,4.80251929060781,-4.76567272611382,7.11819320075766e-06,0.00215928184422983,3.58580165286994,"Downregulated"
"TCEAL7",-3.05550070881966,4.61029328916681,-4.76517592221154,7.13222739630001e-06,0.00215928184422983,3.58400020080666,"Downregulated"
"C4BPA",-1.41423591893871,4.20704463701938,-4.74707176447914,7.66240720225715e-06,0.00224844855295315,3.51842699915477,"Downregulated"
"SLIT2",-2.4742058964469,6.39896617824211,-4.74609776918293,7.69199103876861e-06,0.00224844855295315,3.51490328209679,"Downregulated"
"GRAMD2B",-1.91214646666941,6.78579206923748,-4.69871053795159,9.27341773888302e-06,0.00266477159906818,3.34397420636318,"Downregulated"
"PLPP3",-1.81681509957254,7.88464122648829,-4.69012878986905,9.59176776433363e-06,0.00271031384460854,3.31312645022989,"Downregulated"
"CLEC3B",-2.51899588183611,6.71007386903362,-4.66339332838587,1.06530587508095e-05,0.00296085177149549,3.21723647912383,"Downregulated"
"EGR1",-3.12465501028885,8.73496931534743,-4.65171153495351,1.11517776414681e-05,0.00304947158279759,3.17543993774078,"Downregulated"
"KIAA0825",-0.797216073247418,3.55803583175298,-4.64492495315023,1.14518372008679e-05,0.00308181663338911,3.15118660375672,"No"
"PID1",-2.50580657022749,5.1934054022894,-4.62615737090731,1.2322977458173e-05,0.00326443374727913,3.08422613514234,"Downregulated"
"MEOX2",-3.21288292819804,3.81373546742983,-4.57897532051198,1.48065227953581e-05,0.00386199673034618,2.91660297559566,"Downregulated"
"MAFF",-2.07242410273681,7.04713282670332,-4.56186538104426,1.58218860805991e-05,0.00401696730787926,2.85607234049382,"Downregulated"
"CCDC178",-1.32622002838704,4.65125236239905,-4.56100752720278,1.58745316519943e-05,0.00401696730787926,2.85304107830945,"Downregulated"
"AQP1",-2.06895453863308,7.00602749134835,-4.53752136847749,1.73836096176385e-05,0.00433414290378592,2.77018617398207,"Downregulated"
"F10",-1.087050057449,3.80934413707818,-4.52552085482705,1.82074191071087e-05,0.00447374758756406,2.72795104583628,"Downregulated"
"GNAL",-2.27578927938854,5.45797176258386,-4.51226638470655,1.91612449503434e-05,0.004576296449224,2.68138210120195,"Downregulated"
